2025-11-18 13:41:06,919 - ERROR - Error processing response_20240818_233759_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,921 - ERROR - Error processing response_20240818_233953_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,923 - ERROR - Error processing response_20240818_234051_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,925 - ERROR - Error processing response_20240818_234147_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,927 - ERROR - Error processing response_20240818_234245_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,929 - ERROR - Error processing response_20240818_234342_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,931 - ERROR - Error processing response_20240818_234438_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,932 - ERROR - Error processing response_20240818_234536_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,934 - ERROR - Error processing response_20240818_234632_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,936 - ERROR - Error processing response_20240818_234730_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,938 - ERROR - Error processing response_20240818_234827_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,939 - ERROR - Error processing response_20240818_234924_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,941 - ERROR - Error processing response_20240818_235021_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,943 - ERROR - Error processing response_20240818_235118_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,945 - ERROR - Error processing response_20240818_235215_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,946 - ERROR - Error processing response_20240818_235312_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,948 - ERROR - Error processing response_20240818_235409_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,949 - ERROR - Error processing response_20240818_235506_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,950 - ERROR - Error processing response_20240818_235700_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,952 - ERROR - Error processing response_20240818_235757_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,954 - ERROR - Error processing response_20240818_235854_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,955 - ERROR - Error processing response_20240818_235951_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,956 - ERROR - Error processing response_20240819_000048_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,958 - ERROR - Error processing response_20240819_000145_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,960 - ERROR - Error processing response_20240819_000242_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,962 - ERROR - Error processing response_20240819_000339_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,963 - ERROR - Error processing response_20240819_000436_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,964 - ERROR - Error processing response_20240819_000533_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,966 - ERROR - Error processing response_20240819_000630_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,967 - ERROR - Error processing response_20240819_000727_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
